,played,wins,win_pct
Gujarat Titans,77.0,47,61.0
Chennai Super Kings,266.0,148,55.6
Mumbai Indians,291.0,155,53.3
Kolkata Knight Riders,278.0,140,50.4
Rising Pune Supergiants,30.0,15,50.0
Royal Challengers Bengaluru,286.0,143,50.0
Rajasthan Royals,251.0,123,49.0
Sunrisers Hyderabad,211.0,102,48.3
Lucknow Super Giants,72.0,34,47.2
Punjab Kings,278.0,126,45.3
Delhi Capitals,281.0,125,44.5
Gujarat Lions,30.0,13,43.3
Kochi Tuskers Kerala,14.0,6,42.9
Deccan Chargers,75.0,29,38.7
Pune Warriors,46.0,12,26.1
